id,title,overview,genres,release_date,vote_average,vote_count,popularity,poster_path,directors,cast,keywords
1599191,仙逆剧场版 弑仙之战,,[],,0.0,0,30.0977,/m1dXI1997D7lj6Sh0Z2DI26o2nI.jpg,[],['史泽鲲'],[]
13192,문워커,"마이클 잭슨의 실황 공연 장면과 잭슨이 주인공으로 등장하는 환상적인 이야기들로 구성된 작품이다. 이 영화에는 마이클의 삶과 어린아이들이 '배드'를 부르는 패러디비디오의 몽타주 장면, 환상 장면에서 팬들에게 쫓기는 마이클의 모습과 함께 '맨 인 더 미러', '스무드 크리미널'과 '컴 투게더' 뮤직비디오가 포함되어 있다. 이 영화속의 영화에서 마이클은 미스터 빅이 연기하는 마약 밀매상에게 쫓기는 한편 세 어린이들을 구하는 역을 연기한다. 특히 중간중간 삽입되는 특수 효과와 C.G는 이 영화의 비주얼적인 측면을 한층 돋보이게 한다.","['판타지', '음악']",1988-10-29,7.072,654,24.9638,/3GwTPQkAcgDeAirRpEuJG8HDdRz.jpg,"['Colin Chilvers', 'Will Vinton', 'Jerry Kramer', 'Jim Blashfield']","['마이클 잭슨', '조 페시', 'Sean Ono Lennon', 'Kelley Parker', 'Brandon Quintin Adams']","['dancing', 'drug crime', 'gangster', 'entertainer', 'parody', 'stop motion', 'live performance', 'robot', 'claymation', 'live action and animation', 'reminiscent', 'cheerful', 'empathetic']"
673,해리 포터와 아즈카반의 죄수,"13세가 된 해리 포터는 또 한번의 여름 방학을 이모 가족인 더즐리 일가와 우울하게 보내야 했다. 물론 마법을 쓰는 건 일체 금지. 하지만, 버논 이모부의 누이인 마지 아줌마가 더즐리 가를 방문하면서 상황은 변한다. 위압적인 마지는 해리에겐 늘 공포의 대상. 마지 아줌마 때문에 스트레스를 받던 해리는 급기야 실수로 그녀를 거대한 괴물 풍선으로 만들어 하늘 높이 띄워 보내버리고 만다. 이모와 이모부에게 벌을 받을 것도 두렵고, 일반 세상에선 마법 사용이 금지돼 있는 것을 어겼기 때문에 호그와트 마법학교와 마법부의 징계가 걱정된 해리는 밤의 어둠 속으로 도망치지만, 순식간에 근사한 보라색 3층 버스에 태워져 한 술집으로 인도되고 마는데...","['모험', '판타지']",2004-05-31,8.009,23157,28.0688,/anwNl1xbzXoj5Ax1nVw3WoDzHlw.jpg,['알폰소 쿠아론'],"['다니엘 래드클리프', '루퍼트 그린트', '엠마 왓슨', '로비 콜트레인', '마이클 갬본']","['witch', 'school friend', 'friendship', 'flying', 'magic', 'bus', 'traitor', 'child hero', 'school of witchcraft', 'black magic', 'time travel', 'school', 'best friend', 'werewolf', 'muggle', 'ghost', 'wizard', 'aftercreditsstinger', 'magical creature', 'night bus', 'teenage life', 'christmas', 'school class', 'based on young adult novel', 'magic spell', 'enchant', 'teen fantasy']"
497,그린 마일,"미국 루이지애나의 콜드 마운틴 교도소. 폴은 사형수 감방의 간수장으로 일하고 있다. 그의 일은 사형수들을 감독하고, 그린 마일이라 불리는 초록색 복도를 거쳐 그들을 사형 집행장까지 안내하는 것. 폴은 그들이 죽음을 맞이하는 순간까지 평화롭게 지낼 수 있도록 최선을 다한다. 어느 날 존 커피라는 사형수가 이송되어 온다. 그는 쌍둥이 여자아이를 살해한 흉악범. 하지만 순진한 눈망울에 겁을 잔뜩 집어먹은 그의 모습에 폴은 당혹감을 느낀다. 게다가 그는 초자연적 능력으로 폴의 지병을 깨끗하게 치료해주기까지 한다. 존을 전기 의자로 데려가야 할 날이 다가오면서 폴은 그가 무죄라는 확신을 갖게 되는데...","['판타지', '드라마', '범죄']",1999-12-10,8.507,19273,28.4985,/pk1TPODQVnI8GdLf0DhlJQYxWjd.jpg,['프랭크 다라본트'],"['톰 행크스', '데이비드 모스', '보니 헌트', '마이클 클라크 덩컨', '제임스 크롬웰']","['mentally disabled', 'death penalty', 'based on novel or book', 'southern usa', 'psychopath', 'death row', 'jail guard', 'supernatural', 'great depression', 'prison guard', 'jail', 'electric chair', 'capital punishment', 'torture', 'magic realism', 'healing', '1930s', 'abuse of power']"
939243,수퍼 소닉 3,"너클즈, 테일즈와 함께 평화로운 일상을 보내던 초특급 히어로 소닉. 연구 시설에 50년간 잠들어 있던 사상 최강의 비밀 병기 ""섀도우""가 탈주하자, 세계 수호 통합 부대(약칭 세.수.통)에 의해 극비 소집된다. 소중한 것을 잃은 분노와 복수심에 불타는 섀도우는 소닉의 초고속 스피드와 너클즈의 최강 펀치를 단 단숨에 제압해버린다. 세상을 지배하려는 닥터 로보트닉과 그의 할아버지 제럴드 박사는 섀도우의 엄청난 힘 카오스 에너지를 이용해 인류를 정복하려고 하는데…","['액션', 'SF', '코미디', '가족']",2024-12-19,7.6,3288,27.8002,/4784u4fHwcvc4owOGylVpP7JaKQ.jpg,['Jeff Fowler'],"['짐 캐리', '벤 슈와츠', '키아누 리브스', '이드리스 엘바', '콜린 오샤우너시']","['moon', 'sequel', 'based on video game', 'psychotic', 'dual role', 'aftercreditsstinger', 'duringcreditsstinger', 'hedgehog', 'live action and animation', 'complex', 'grandfather grandson relationship', 'animal human friendship', 'anthropomorphic animal']"
960505,ザ・本番　アイドル歌手篇,,['드라마'],1987-05-13,4.7,3,23.9086,/o5ST5VIhOlt3pbhvBlwoA0y5fK8.jpg,['高槻彰'],"['Yôko Nagai', 'Mika Tanaka', 'Juri Aoyama', '森田豊', 'Shirô Machida']","['pink film', 'idol group']"
1084187,치명적이고 아름다운,액션으로 가득한 스릴러. 댄스 대회로 향하던 다섯 발레리나가 외딴 숲에서 길을 잃어 음산한 모텔에 머문다. 모텔 주인 데보라 카시메르와 맞서기 위해 그들은 발레를 무기로 삼아야 한다.,"['음악', '스릴러', '액션', '공포']",2026-03-13,6.776,392,27.5501,/wlV000ToWdP5jtBBswT98DUibIS.jpg,['Vicky Jewson'],"['매디 지글러', '라나 콘도어', '아이리스 아패토우', '밀리센트 시먼즈', '아반티카']","['hungary', 'dance competition', 'ballerina', 'prima ballerina', 'remote inn', 'admiring', 'fight for survival', 'dance troupe']"
537915,애프터,"대학 입학 후 첫 파티에 초대 받게 된 신입생 ‘테사’는 진실게임을 하던 중 키스 벌칙에 걸리고 만다. 상대는 학교에서 유명한 반항아 ‘하딘’. 키스를 앞둔 0.1초 전, 모두가 주목하는 그 순간 ‘테사’는 ‘하딘’의 입술을 거절하고 만다. 강렬했던 첫 만남 이후, 마치 새로운 세상을 발견한 듯 한번도 경험한 적 없던 감정에 눈을 뜨게 된 두 사람. ‘하딘’은 자신의 비밀 장소로 ‘테사’를 초대하고 이제 두 사람은 서로를 모르기 전으로 절대 되돌아 갈 수 없음을 알게 되는데…","['드라마', '로맨스']",2019-04-11,7.108,8520,27.6084,/zTZ7Q9mAwBQoYaR8HgGbmBNp6AC.jpg,['Jenny Gage'],"['Josephine Langford', '히어로 파인스 티핀', 'Shane Paul McGhie', 'Khadijha Red Thunder', '딜런 아널드']","['based on novel or book', 'love', 'teenage crush', 'teenage romance', 'bad boy', 'mysterious', 'angry', 'ambiguous']"
137051,Midnight Matinee,,"['공포', '미스터리', '스릴러', 'TV 영화']",1988-10-12,5.4,7,27.2712,/czam6wq46B9UCZvq85vicElckFq.jpg,['Richard Martin'],"['Ron White', 'Gillian Barber', 'Jeff Schultz', 'Beatrice Boepple', 'Timothy Webber']",[]
4588,"색, 계","1938년 홍콩, 친일파의 핵심 인물이자 정보부 대장인 이(양조위)와 그를 암살하기 위해 막 부인으로 신분을 위장하고 접근하는 왕치아즈(탕웨이). 그녀의 임무는 자신의 신분을 위장하고 이의 아내(조안첸)에게 접근하여 신뢰를 쌓은 후 이에게 가까워 지는 것. 둘은 처음 본 순간부터 운명 같은 강렬한 이끌림을 느끼게 되지만 이의 상하이 발령으로 헤어지게 되고 암살 계획 또한 무산된다. 1941년 상하이, 다시 시작 된 암살계획으로 둘은 상하이에서 재회하게 된다. 경계를 푼 이, 그에게 다른 감정을 느끼는 왕치아즈. 이들은 서로에게 빠져들게 되는데...","['액션', '드라마', '로맨스', '스릴러']",2007-09-24,7.272,803,27.1986,/xd7dT3mh7cUk1rqDs7AaqJ5NZES.jpg,['이안'],"['양조위', '탕웨이', '조앤 첸', '王力宏', '庹宗華']","['secret love', 'china', 'sexual obsession', 'shanghai, china', 'cheating', 'espionage', 'resistance', 'in love with enemy', 'traitor', 'lover', 'insurgence', 'war on freedom', 'occupying power', 'insurrection', 'love', 'hong kong', 'older man younger woman relationship', 'extramarital affair', 'mahjong', 'resistance fighter', 'erotic thriller', '1940s']"
